Source Name,Site Name,Type of equipment,Type of Equipment Leak (L),Type of Pneumatic Controller (PC) (for cases where all PCs at site are either intermittent or low bleed),Mean of HighFlow measurements (scfm),Fraction of carbon in methane,Methane mole %,Mean methane (scfm),Whole gas (scfm)
L-42,AP-27,L,Vent Separator 7H,,0.668,0.966,9.8041E+01,0.645,0.658
L-43,AP-27,L,Vent Separator 3H,,0.239,0.966,9.8041E+01,0.231,0.236
PC-52,AP-27,PC,,,0.471,0.966,9.8041E+01,0.455,0.464
PC-53,AP-27,PC,,,0.158,0.966,9.8041E+01,0.153,0.156
PC-54,AP-27,PC,,,0.233,0.966,9.8041E+01,0.225,0.230
PC-55,AP-27,PC,,,0.103,0.966,9.8041E+01,0.100,0.102
PC-56,AP-27,PC,,,0.000,0.966,9.8041E+01,0.000,0.000
PC-57,AP-27,PC,,,0.168,0.966,9.8041E+01,0.162,0.166
PC-58,AP-27,PC,,,0.013,0.966,9.8041E+01,0.013,0.013
PC-59,AP-27,PC,,,0.000,0.966,9.8041E+01,0.000,0.000
PC-60,AP-28,PC,,low,0.011,0.957,9.7561E+01,0.011,0.011
PC-61,AP-28,PC,,low,0.089,0.957,9.7561E+01,0.085,0.087
L-44,AP-29,L,Kimray Valve Weep Hole; L5H,,0.029,0.954,9.7412E+01,0.028,0.028
L-45,AP-29,L,Upper temperature controller on separator; L6H,,0.000,0.954,9.7412E+01,0.000,0.000
L-46,AP-29,L,Regulator L5H,,0.000,0.954,9.7412E+01,0.000,0.000
L-47,AP-29,L,Upper Temperature controller; L5H,,0.000,0.954,9.7412E+01,0.000,0.000
L-48,AP-29,L,Upper Temperature Controller L4H,,0.026,0.954,9.7412E+01,0.025,0.025
L-49,AP-29,L,Lower Temperature Controller Separator 2,,0.005,0.954,9.7412E+01,0.005,0.005
L-50,AP-29,L,Compression fitting Left Separator 2,,0.006,0.954,9.7412E+01,0.006,0.006
L-51,AP-29,L,Compression fitting right separator 2,,0.025,0.954,9.7412E+01,0.024,0.024
L-52,AP-29,L,Temperature controller separator 1,,0.016,0.954,9.7412E+01,0.015,0.016
L-53,AP-29,L,Swagelok on diaphragm,,0.205,0.954,9.7412E+01,0.196,0.201
PC-62,AP-29,PC,,low,0.018,0.954,9.7412E+01,0.017,0.018
PC-63,AP-29,PC,,low,0.007,0.954,9.7412E+01,0.007,0.007
PC-64,AP-29,PC,,low,0.023,0.954,9.7412E+01,0.022,0.023
PC-65,AP-29,PC,,low,0.044,0.954,9.7412E+01,0.042,0.043
PC-71,AP-30,PC,,,0.015,0.972,9.8387E+01,0.015,0.015
L-55,AP-31,L,Surface Casing Vent; Well 5,,0.010,0.957,9.7561E+01,0.010,0.010
L-56,AP-31,L,Surface Casing Vent; Well 2,,0.007,0.957,9.7561E+01,0.007,0.007
L-57,AP-31,L,Surface Casing Vent; Well 1,,0.010,0.957,9.7561E+01,0.010,0.010
L-58,AP-31,L,Upper Temperature Controller Separator 05,,0.000,0.957,9.7561E+01,0.000,0.000
L-59,AP-31,L,Lower Temperature Controller; Separator 04,,0.007,0.957,9.7561E+01,0.007,0.007
L-60,AP-31,L,Weep Hole on Control Valve; Separator 04,,0.035,0.957,9.7561E+01,0.033,0.034
L-61,AP-31,L,Regulator Weep Hole; Separator 02,,0.005,0.957,9.7561E+01,0.005,0.005
L-62,AP-31,L,Upper Temperature Controller; Separator 01,,0.000,0.957,9.7561E+01,0.000,0.000
L-63,AP-31,L,Lower Temperature Controller; Separator 01,,0.005,0.957,9.7561E+01,0.005,0.005
PC-72,AP-31,PC,,low,0.062,0.957,9.7561E+01,0.059,0.061
PC-73,AP-31,PC,,low,0.055,0.957,9.7561E+01,0.053,0.054
PC-74,AP-31,PC,,low,0.054,0.957,9.7561E+01,0.052,0.053
PC-75,AP-31,PC,,low,0.031,0.957,9.7561E+01,0.030,0.030
PC-76,AP-31,PC,,low,0.064,0.957,9.7561E+01,0.061,0.063
L-64,AP-32,L,Fitting K1H,,0.000,0.957,9.7561E+01,0.000,0.000
L-65,AP-32,L,Regulator; K1H,,0.004,0.957,9.7561E+01,0.004,0.004
L-66,AP-32,L,Lower Temperature Controller K2H,,0.000,0.957,9.7561E+01,0.000,0.000
L-67,AP-32,L,Weep Hole on Heater Exterior; K3H,,0.159,0.957,9.7561E+01,0.152,0.156
PC-77,AP-32,PC,,low,0.032,0.957,9.7561E+01,0.031,0.031
PC-78,AP-32,PC,,low,0.003,0.957,9.7561E+01,0.003,0.003
L-68,AP-33,L,Separator 2H bath temperature thermostat,,0.015,0.953,9.7365E+01,0.014,0.015
PC-79,AP-33,PC,,int,0.000,0.953,9.7365E+01,0.000,0.000
PC-80,AP-33,PC,,int,0.018,0.953,9.7365E+01,0.017,0.018
PC-81,AP-33,PC,,int,1.475,0.953,9.7365E+01,1.405,1.443
PC-82,AP-33,PC,,int,0.666,0.953,9.7365E+01,0.634,0.652
PC-83,AP-33,PC,,int,1.563,0.953,9.7365E+01,1.489,1.529
PC-84,AP-33,PC,,int,0.131,0.953,9.7365E+01,0.125,0.128
PC-85,AP-33,PC,,int,0.237,0.953,9.7365E+01,0.226,0.232
PC-86,AP-33,PC,,int,0.097,0.953,9.7365E+01,0.092,0.095
T-3,AP-33,T,,,0.766,0.953,9.7365E+01,0.730,0.750
T-4,AP-33,T,,,0.429,0.953,9.7365E+01,0.409,0.420
L-69,AP-34,L,Thermostat,,0.002,0.954,9.7400E+01,0.002,0.002
PC-87,AP-34,PC,,int,0.797,0.954,9.7400E+01,0.760,0.780
PC-88,AP-34,PC,,int,0.842,0.954,9.7400E+01,0.803,0.824
PC-89,AP-35,PC,,,0.010,0.950,9.7046E+01,0.009,0.010
PC-90,AP-35,PC,,,0.022,0.950,9.7046E+01,0.021,0.022
PC-91,AP-35,PC,,,0.013,0.950,9.7046E+01,0.012,0.013
PC-92,AP-35,PC,,,0.712,0.950,9.7046E+01,0.676,0.697
L-70,AP-36,L,Weep hole on regulator on separator,,0.000,0.957,9.7561E+01,0.000,0.000
PC-93,AP-36,PC,,low,0.016,0.957,9.7561E+01,0.015,0.016
L-71,AP-37,L,Gauge separator 4H,,0.029,0.947,9.7014E+01,0.027,0.028
L-72,AP-37,L,Cyclic annulus on well Head 5H,,0.107,0.947,9.7014E+01,0.101,0.104
L-73,AP-37,L,Cyclic annulus on well Head 6H,,0.097,0.947,9.7014E+01,0.092,0.095
L-74,AP-37,L,Cyclic annulus on well Head 4H,,0.368,0.947,9.7014E+01,0.349,0.359
PC-94,AP-37,PC,,,0.032,0.947,9.7014E+01,0.030,0.031
T-5,AP-37,T,,,0.219,0.947,9.7014E+01,0.207,0.214
T-6,AP-37,T,,,0.000,0.947,9.7014E+01,0.000,0.000
L-75,AP-38,L,Vent Separator 2H,,0.501,0.975,9.8157E+01,0.489,0.498
L-76,AP-38,L,Vent Separator 6H,,0.781,0.975,9.8157E+01,0.762,0.776
PC-95,AP-38,PC,,,0.146,0.975,9.8157E+01,0.142,0.145
PC-96,AP-38,PC,,,0.230,0.975,9.8157E+01,0.224,0.228
PC-97,AP-38,PC,,,0.017,0.975,9.8157E+01,0.017,0.017
L-77,AP-39,L,Well 1&2 separator vent manifold exhaust,,0.238,0.951,9.7266E+01,0.226,0.233
PC-98,AP-39,PC,,int,0.170,0.951,9.7266E+01,0.162,0.166
PC-99,AP-39,PC,,int,0.019,0.951,9.7266E+01,0.018,0.019
T-7,AP-39,T,,,1.041,0.951,9.7266E+01,0.990,1.017
L-80,AP-40,L,Union in separator fitting,,0.012,0.914,9.5315E+01,0.011,0.012
PC-104,AP-40,PC,,,0.012,0.914,9.5315E+01,0.011,0.012
L-81,AP-41,L,Regulator Weep Hole B4H,,0.005,0.957,9.7561E+01,0.005,0.005
L-82,AP-41,L,Upper Temperature Controller B4H,,0.005,0.957,9.7561E+01,0.005,0.005
L-83,AP-41,L,Lower Temperature Controller B4H,,0.005,0.957,9.7561E+01,0.005,0.005
L-84,AP-41,L,Upper Temperature Controller B2H,,0.088,0.957,9.7561E+01,0.084,0.086
PC-105,AP-41,PC,,low,0.000,0.957,9.7561E+01,0.000,0.000
PC-106,AP-41,PC,,low,0.000,0.957,9.7561E+01,0.000,0.000
PC-107,AP-42,PC,,int,0.081,0.951,9.7278E+01,0.077,0.079
PC-108,AP-42,PC,,int,1.536,0.951,9.7278E+01,1.460,1.501
PC-109,AP-42,PC,,int,0.325,0.951,9.7278E+01,0.309,0.318
PC-110,AP-42,PC,,int,0.091,0.951,9.7278E+01,0.087,0.089
L-85,AP-43,L,Well head 5 annulus,,0.223,0.947,9.7014E+01,0.211,0.218
L-86,AP-43,L,Well head 4 annulus,,0.007,0.947,9.7014E+01,0.007,0.007
L-87,AP-43,L,Well head 3 annulus,,2.111,0.947,9.7014E+01,1.999,2.061
L-88,AP-43,L,Well head 1 annulus,,0.189,0.947,9.7014E+01,0.179,0.185
L-89,AP-43,L,Well head 2 annulus,,0.339,0.947,9.7014E+01,0.321,0.331
L-90,AP-43,L,Gas flowmeter separator 4H,,0.048,0.947,9.7014E+01,0.045,0.047
L-91,AP-43,L,Separator 6H ball valve,,0.056,0.947,9.7014E+01,0.053,0.055
PC-111,AP-43,PC,,,0.000,0.947,9.7014E+01,0.000,0.000
PC-112,AP-43,PC,,,0.145,0.947,9.7014E+01,0.137,0.142
T-8,AP-43,T,,,0.081,0.947,9.7014E+01,0.077,0.079
L-92,AP-44,L,#7 fan fitting,,0.012,0.955,9.6980E+01,0.011,0.012
PC-113,AP-44,PC,,,0.007,0.955,9.6980E+01,0.007,0.007
PC-114,AP-44,PC,,,0.254,0.955,9.6980E+01,0.242,0.250
PC-115,AP-44,PC,,,0.121,0.955,9.6980E+01,0.115,0.119
T-9,AP-44,T,,,1.707,0.955,9.6980E+01,1.629,1.680
L-93,AP-45,L,Annulus vent,,0.087,0.952,9.7368E+01,0.083,0.085
PC-116,AP-45,PC,,,0.018,0.952,9.7368E+01,0.017,0.018
PC-117,AP-45,PC,,,0.000,0.952,9.7368E+01,0.000,0.000
PC-118,AP-45,PC,,,0.042,0.952,9.7368E+01,0.040,0.041
PC-119,AP-46,PC,,low,0.117,0.958,9.7627E+01,0.112,0.115
PC-120,AP-46,PC,,low,0.071,0.958,9.7627E+01,0.068,0.070
PC-121,AP-46,PC,,low,0.047,0.958,9.7627E+01,0.045,0.046
L-94,AP-47,L,Separator 4 regulator,,0.008,0.946,9.6835E+01,0.008,0.008
L-95,AP-47,L,Separator 5 front vent,,0.000,0.946,9.6835E+01,0.000,0.000
PC-122,AP-47,PC,,,0.012,0.946,9.6835E+01,0.011,0.012
PC-123,AP-47,PC,,,0.038,0.946,9.6835E+01,0.036,0.037
PC-124,AP-47,PC,,,0.025,0.946,9.6835E+01,0.024,0.024
PC-125,AP-47,PC,,,0.008,0.946,9.6835E+01,0.008,0.008
PC-126,AP-47,PC,,,0.057,0.946,9.6835E+01,0.054,0.056
T-10,AP-47,T,,,0.035,0.946,9.6835E+01,0.033,0.034
L-101,GC-1,L,Compressor fuel pot regulator,,0.303,0.533,7.4883E+01,0.161,0.216
PC-134,GC-1,PC,,int,0.130,0.533,7.4883E+01,0.069,0.093
L-123,GC-2,L,LACT Pump Bleed off on top of valve,,0.031,0.475,7.0898E+01,0.015,0.021
PC-185,GC-3,PC,,int,0.581,0.959,9.5950E+01,0.557,0.581
L-149,GC-4,L,Exhaust Cane Compressor for Stabilizer,,0.316,0.504,7.2869E+01,0.159,0.219
PC-196,GC-4,PC,,int,0.114,0.504,7.2869E+01,0.057,0.079
PC-197,GC-4,PC,,int,0.117,0.504,7.2869E+01,0.059,0.081
PC-198,GC-4,PC,,int,0.304,0.504,7.2869E+01,0.153,0.210
PC-199,GC-4,PC,,int,0.248,0.504,7.2869E+01,0.125,0.172
PC-200,GC-4,PC,,int,0.123,0.504,7.2869E+01,0.062,0.085
L-156,GC-5,L,Pressure regulator vent below ESD valve on flare stack,,0.303,0.495,7.2434E+01,0.150,0.207
L-157,GC-5,L,Compression fitting tee above ball valve behind bottom pneumatic controller,,0.025,0.495,7.2434E+01,0.012,0.017
L-158,GC-5,L,Flange on 10-inch line sales line downstream of glove Valve,,1.903,0.495,7.2434E+01,0.942,1.300
L-159,GC-5,L,10-inch sales line flange upstream of check valve,,0.254,0.495,7.2434E+01,0.126,0.174
L-167,GC-6,L,Pressure regulator weep hole.  Upstream of test separator,,0.027,0.594,7.8706E+01,0.016,0.020
L-168,GC-6,L,VRU Compressor back pressure regulator,,0.123,0.594,7.8706E+01,0.073,0.093
L-169,GC-6,L,VRU Compressor Cylinder Vent,,0.302,0.594,7.8706E+01,0.179,0.228
CIP-21,GC-7,CIP,,,0.289,0.959,9.5950E+01,0.277,0.289
PC-235,GC-7,PC,,int,0.031,0.959,9.5950E+01,0.030,0.031
PC-236,GC-7,PC,,int,0.191,0.959,9.5950E+01,0.183,0.191
PC-237,GC-8,PC,,int,0.059,0.969,9.7119E+01,0.057,0.059
PC-238,GC-9,PC,,int,0.052,0.595,7.8756E+01,0.031,0.039
PC-239,GC-9,PC,,int,0.000,0.595,7.8756E+01,0.000,0.000
PC-135,GC-10,PC,,int,0.129,0.959,9.5950E+01,0.124,0.129
PC-136,GC-10,PC,,int,0.601,0.959,9.5950E+01,0.576,0.601
L-102,GC-11,L,valve on top of western well head,,0.050,0.953,9.4827E+01,0.048,0.050
L-103,GC-11,L,plug on west well head Christmas tree,,0.021,0.953,9.4827E+01,0.020,0.021
L-104,GC-11,L,gas union,,0.005,0.953,9.4827E+01,0.005,0.005
PC-137,GC-11,PC,,,0.244,0.953,9.4827E+01,0.232,0.245
PC-138,GC-11,PC,,,0.228,0.953,9.4827E+01,0.217,0.229
T-12,GC-11,T,,,0.261,0.953,9.4827E+01,0.249,0.262
L-105,GC-12,L,005 Back pressure valve old departing pipeline fisher throttle,,0.060,0.959,9.5950E+01,0.058,0.060
L-106,GC-12,L,005 back pressure valve old departing pipeline pressure regulator,,0.022,0.959,9.5950E+01,0.021,0.022
L-107,GC-12,L,pressure regulator Fisher SDV-0110,,0.009,0.959,9.5950E+01,0.009,0.009
PC-139,GC-12,PC,,,0.032,0.959,9.5950E+01,0.031,0.032
PC-140,GC-12,PC,,,0.007,0.959,9.5950E+01,0.007,0.007
PC-141,GC-12,PC,,,0.873,0.959,9.5950E+01,0.837,0.873
PC-142,GC-12,PC,,,0.387,0.959,9.5950E+01,0.371,0.387
PC-143,GC-12,PC,,,1.033,0.959,9.5950E+01,0.991,1.033
PC-144,GC-12,PC,,,0.062,0.959,9.5950E+01,0.059,0.062
PC-145,GC-12,PC,,,0.042,0.959,9.5950E+01,0.040,0.042
PC-146,GC-12,PC,,,0.075,0.959,9.5950E+01,0.072,0.075
L-108,GC-13,L,3/8 Union at well head,,0.013,0.950,9.4595E+01,0.012,0.013
PC-147,GC-13,PC,,int,0.864,0.950,9.4595E+01,0.821,0.868
T-13,GC-13,T,,,0.010,0.950,9.4595E+01,0.010,0.010
T-14,GC-14,T,,,0.023,0.417,6.7400E+01,0.010,0.014
T-15,GC-14,T,,,0.081,0.417,6.7400E+01,0.034,0.050
T-16,GC-14,T,,,0.000,0.417,6.7400E+01,0.000,0.000
L-109,GC-15,L,Quick Exhaust on 277,,0.096,0.952,9.5138E+01,0.091,0.096
L-110,GC-15,L,Quick Exhaust on 278,,0.019,0.952,9.5138E+01,0.018,0.019
L-111,GC-15,L,Quick Exhaust on 279,,0.014,0.952,9.5138E+01,0.013,0.014
L-112,GC-15,L,Quick Exhaust on 346,,0.000,0.952,9.5138E+01,0.000,0.000
L-113,GC-15,L,Kimray Valve Separator 2,,0.021,0.952,9.5138E+01,0.020,0.021
L-114,GC-15,L,Kimray Bonnet Separator 2,,0.289,0.952,9.5138E+01,0.275,0.289
L-115,GC-15,L,PRV Separator 3,,0.012,0.952,9.5138E+01,0.011,0.012
L-116,GC-15,L,Regulator Separator 4,,0.200,0.952,9.5138E+01,0.190,0.200
L-117,GC-15,L,Connection on Solenoid Valve Separator 1,,0.000,0.952,9.5138E+01,0.000,0.000
L-118,GC-15,L,Regulator Separator 1,,0.248,0.952,9.5138E+01,0.236,0.248
PC-148,GC-15,PC,,int,1.241,0.952,9.5138E+01,1.181,1.242
PC-149,GC-15,PC,,int,0.285,0.952,9.5138E+01,0.271,0.285
PC-150,GC-15,PC,,int,0.355,0.952,9.5138E+01,0.338,0.355
PC-151,GC-15,PC,,int,0.000,0.952,9.5138E+01,0.000,0.000
PC-152,GC-15,PC,,int,0.128,0.952,9.5138E+01,0.122,0.128
T-17,GC-15,T,,,0.083,0.952,9.5138E+01,0.079,0.083
T-18,GC-15,T,,,0.337,0.952,9.5138E+01,0.321,0.337
T-19,GC-15,T,,,0.104,0.952,9.5138E+01,0.099,0.104
PC-153,GC-16,PC,,int,0.650,0.569,7.5868E+01,0.370,0.488
PC-154,GC-16,PC,,int,0.409,0.569,7.5868E+01,0.233,0.307
PC-155,GC-16,PC,,int,0.406,0.569,7.5868E+01,0.231,0.305
PC-156,GC-16,PC,,int,0.036,0.569,7.5868E+01,0.020,0.027
PC-157,GC-16,PC,,int,0.738,0.569,7.5868E+01,0.420,0.554
PC-158,GC-16,PC,,int,0.071,0.569,7.5868E+01,0.040,0.053
PC-159,GC-16,PC,,int,0.303,0.569,7.5868E+01,0.172,0.227
PC-160,GC-16,PC,,int,0.000,0.569,7.5868E+01,0.000,0.000
